,Buy,Sell,Type
304,2007-12-31T00:00:00.000000000,2008-01-03T00:00:00.000000000,2
305,2008-01-31T00:00:00.000000000,2008-02-03T00:00:00.000000000,2
306,2008-02-29T00:00:00.000000000,2008-03-03T00:00:00.000000000,2
307,2008-03-31T00:00:00.000000000,2008-04-03T00:00:00.000000000,2
308,2008-04-30T00:00:00.000000000,2008-05-03T00:00:00.000000000,2
309,2008-05-31T00:00:00.000000000,2008-06-03T00:00:00.000000000,2
310,2008-06-30T00:00:00.000000000,2008-07-03T00:00:00.000000000,2
311,2008-07-31T00:00:00.000000000,2008-08-03T00:00:00.000000000,2
312,2008-08-31T00:00:00.000000000,2008-09-03T00:00:00.000000000,2
313,2008-09-30T00:00:00.000000000,2008-10-03T00:00:00.000000000,2
314,2008-10-31T00:00:00.000000000,2008-11-03T00:00:00.000000000,2
315,2008-11-30T00:00:00.000000000,2008-12-03T00:00:00.000000000,2
316,2008-12-31T00:00:00.000000000,2009-01-03T00:00:00.000000000,2
317,2009-01-31T00:00:00.000000000,2009-02-03T00:00:00.000000000,2
318,2009-02-28T00:00:00.000000000,2009-03-03T00:00:00.000000000,2
319,2009-03-31T00:00:00.000000000,2009-04-03T00:00:00.000000000,2
320,2009-04-30T00:00:00.000000000,2009-05-03T00:00:00.000000000,2
321,2009-05-31T00:00:00.000000000,2009-06-03T00:00:00.000000000,2
322,2009-06-30T00:00:00.000000000,2009-07-03T00:00:00.000000000,2
323,2009-07-31T00:00:00.000000000,2009-08-03T00:00:00.000000000,2
324,2009-08-31T00:00:00.000000000,2009-09-03T00:00:00.000000000,2
325,2009-09-30T00:00:00.000000000,2009-10-03T00:00:00.000000000,2
326,2009-10-31T00:00:00.000000000,2009-11-03T00:00:00.000000000,2
327,2009-11-30T00:00:00.000000000,2009-12-03T00:00:00.000000000,2
328,2009-12-31T00:00:00.000000000,2010-01-03T00:00:00.000000000,2
329,2010-01-31T00:00:00.000000000,2010-02-03T00:00:00.000000000,2
330,2010-02-28T00:00:00.000000000,2010-03-03T00:00:00.000000000,2
331,2010-03-31T00:00:00.000000000,2010-04-03T00:00:00.000000000,2
332,2010-04-30T00:00:00.000000000,2010-05-03T00:00:00.000000000,2
333,2010-05-31T00:00:00.000000000,2010-06-03T00:00:00.000000000,2
334,2010-06-30T00:00:00.000000000,2010-07-03T00:00:00.000000000,2
335,2010-07-31T00:00:00.000000000,2010-08-03T00:00:00.000000000,2
336,2010-08-31T00:00:00.000000000,2010-09-03T00:00:00.000000000,2
337,2010-09-30T00:00:00.000000000,2010-10-03T00:00:00.000000000,2
338,2010-10-31T00:00:00.000000000,2010-11-03T00:00:00.000000000,2
339,2010-11-30T00:00:00.000000000,2010-12-03T00:00:00.000000000,2
340,2010-12-31T00:00:00.000000000,2011-01-03T00:00:00.000000000,2
341,2011-01-31T00:00:00.000000000,2011-02-03T00:00:00.000000000,2
342,2011-02-28T00:00:00.000000000,2011-03-03T00:00:00.000000000,2
343,2011-03-31T00:00:00.000000000,2011-04-03T00:00:00.000000000,2
344,2011-04-30T00:00:00.000000000,2011-05-03T00:00:00.000000000,2
345,2011-05-31T00:00:00.000000000,2011-06-03T00:00:00.000000000,2
346,2011-06-30T00:00:00.000000000,2011-07-03T00:00:00.000000000,2
347,2011-07-31T00:00:00.000000000,2011-08-03T00:00:00.000000000,2
348,2011-08-31T00:00:00.000000000,2011-09-03T00:00:00.000000000,2
349,2011-09-30T00:00:00.000000000,2011-10-03T00:00:00.000000000,2
350,2011-10-31T00:00:00.000000000,2011-11-03T00:00:00.000000000,2
351,2011-11-30T00:00:00.000000000,2011-12-03T00:00:00.000000000,2
352,2011-12-31T00:00:00.000000000,2012-01-03T00:00:00.000000000,2
353,2012-01-31T00:00:00.000000000,2012-02-03T00:00:00.000000000,2
354,2012-02-29T00:00:00.000000000,2012-03-03T00:00:00.000000000,2
